_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
60,277.2034363746643,0.0,1735987913.0100563,,,,0.0009998100192836101,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
61,285.39304304122925,0.0,1735987921.199663,,,,,0.9,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
62,304.85722732543945,0.0,1735987940.6638472,,,,,,0.79675,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
63,304.8811020851135,0.0,1735987940.687722,,,,,,,1.039202332496643,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
64,304.9271249771118,0.0,1735987940.7337449,,,,,,,0.9719879627227783,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
65,304.9744062423706,0.0,1735987940.7810261,,,,,,,0.8842009902000427,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
66,305.0206742286682,0.0,1735987940.827294,,,,,,,1.0565768480300903,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
67,305.06594347953796,0.0,1735987940.8725634,,,,,,,0.7857086062431335,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
68,305.1104712486267,0.0,1735987940.9170911,,,,,,,0.7576878070831299,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
69,305.15597200393677,0.0,1735987940.962592,,,,,,,0.8535549640655518,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
70,305.2004110813141,0.0,1735987941.007031,,,,,,,0.6832008361816406,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
71,305.2461624145508,0.0,1735987941.0527823,,,,,,,0.8567435145378113,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
72,305.2919464111328,0.0,1735987941.0985663,,,,,,,0.7767177224159241,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
73,305.3380835056305,0.0,1735987941.1447034,,,,,,,0.7892566323280334,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
74,305.3846216201782,0.0,1735987941.1912415,,,,,,,0.7560002207756042,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
75,305.4297697544098,0.0,1735987941.2363896,,,,,,,0.7358977794647217,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
