unseen_ds,spc,model,nway,trained_ds,mean_diff,acc,dis_mean,norm_ratio_sum,norm_ratio_limits,domain,acc_std,bt_iter,sum_min_values
Egyptian,5,RelationNetwork,5,Egyptian,0.0,0.8588499999999999,0.48307514,0.51968926,0.4232121007667292,ID,0.03810908684290402,2,3369.9650104204193
Greek,5,RelationNetwork,5,Egyptian,-0.06622249,0.5232,0.41685265,0.62220734,0.4980035674991709,OOD,0.058719758173888977,2,3647.0462618106076
TKH,5,RelationNetwork,5,Egyptian,0.13479799,0.40485000000000004,0.61787313,0.89855987,0.6723064397252727,OOD,0.04436611882957534,2,7973.343314109254
miniImageNet_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.46333438,0.21425,0.9464095,1.4453623,0.9797965891721937,OOD,0.029220070157342196,2,18046.090187793598
cifar100_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.46446025,0.22995,0.9475354,1.4446782,0.9783069420542896,OOD,0.03306996371331544,2,18116.15448026359
b-59-850,5,RelationNetwork,5,Egyptian,0.4052022,0.38245000000000007,0.88827735,1.3736601,0.9363856397643289,OOD,0.04490403656688338,2,16509.301326051354
b-59-850,5,RelationNetwork,5,Egyptian,0.22792578,0.31425,0.7567284,1.2797703,0.8893073598070041,OOD,0.03288331643858326,1,13293.145850772038
Egyptian,5,RelationNetwork,5,Egyptian,0.0,0.8328,0.52880263,0.5953993,0.4820664156736947,ID,0.03525492873344095,1,4157.887661063953
miniImageNet_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.34790188,0.21325,0.8767045,1.3432827,0.9335588358218125,OOD,0.02859304985481612,1,15456.471536338911
TKH,5,RelationNetwork,5,Egyptian,0.17230386,0.40895,0.7011065,1.0314198,0.7484594118368062,OOD,0.045019690136650206,1,10269.872589874183
omniglot_SOTA_testSet,5,RelationNetwork,5,Egyptian,-0.28904748,0.4669,0.23975517,0.42466187,0.3510979267976217,OOD,0.05276731943163306,1,1614.9778511913057
cifar100_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.39820302,0.22755,0.92700565,1.4126726,0.9658145794134163,OOD,0.031090553227628485,1,17207.47563961055
Greek,5,RelationNetwork,5,Egyptian,-0.14197353,0.493,0.3868291,0.542925,0.4237462019864098,OOD,0.04818972919616793,1,3854.0696225425268
Egyptian,5,RelationNetwork,5,Egyptian,0.0,0.82375,0.5462094,0.63666624,0.4983743930856218,ID,0.03781947249764333,4,5128.979105043109
TKH,5,RelationNetwork,5,Egyptian,0.18230367,0.43410000000000004,0.72851306,1.0970705,0.7915708020040222,OOD,0.05009680628543101,4,11023.896512505387
cifar100_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.39396644,0.22569999999999998,0.94017583,1.4633954,0.9852470613280815,OOD,0.036956190279843516,4,18251.667948901653
omniglot_SOTA_testSet,5,RelationNetwork,5,Egyptian,-0.027055502,0.51065,0.5191539,0.7328469,0.5683590177306295,OOD,0.0520668080450492,4,5553.2030632237
b-59-850,5,RelationNetwork,5,Egyptian,0.2987253,0.2924,0.8449347,1.3871818,0.9472272000391732,OOD,0.04066312826136228,4,15639.887425862253
miniImageNet_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.3852011,0.2249,0.9314105,1.4626422,0.9837412256514232,OOD,0.03699648631964933,4,18115.674674510956
Greek,5,RelationNetwork,5,Egyptian,-0.18845022,0.5809,0.35775918,0.45558667,0.37352894070223636,OOD,0.05322302133475701,4,2572.639142070834
omniglot_SOTA_testSet,5,RelationNetwork,5,Egyptian,-0.03522098,0.48375,0.39657065,0.59571517,0.4756565924444759,OOD,0.05371510495195927,3,3555.065467265974
TKH,5,RelationNetwork,5,Egyptian,0.35005304,0.44595000000000007,0.7818447,1.1698,0.8346468859767625,OOD,0.05524239766700934,3,12347.047473734478
Egyptian,5,RelationNetwork,5,Egyptian,0.0,0.84845,0.43179163,0.4067028,0.3501168908702354,ID,0.035489047606268614,3,1929.0384700971626
cifar100_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.50179887,0.2205,0.93359053,1.4375181,0.9721112295231309,OOD,0.030939457008809963,3,17835.611169695854
Greek,5,RelationNetwork,5,Egyptian,-0.06223336,0.41565,0.36955827,0.5708168,0.44509295975550167,OOD,0.053473848748710806,3,3914.593395987413
b-59-850,5,RelationNetwork,5,Egyptian,0.44569954,0.30579999999999996,0.8774912,1.385143,0.947227770055543,OOD,0.04222096635559163,3,16203.011205229908
miniImageNet_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.4922332,0.20745,0.9240248,1.4166774,0.961208949431588,OOD,0.03337472846331487,3,17454.879005314782
b-59-850,20,RelationNetwork,20,Greek,0.3210454,0.5180875000000001,0.3841411,0.11262943,0.20165448798473615,OOD,0.024422840871815052,0,347.0732794119783
TKH,20,RelationNetwork,20,Greek,0.25144252,0.7058875,0.3145382,0.09319771,0.1365671977591055,OOD,0.027883432020646238,0,1691.4812109906218
Greek,20,RelationNetwork,20,Greek,0.0,0.8522249999999999,0.06309568,0.0013706287,0.0011667531190676572,ID,0.018072406452932604,0,0.26114598966631747
b-59-850,1,RelationNetwork,20,TKH,0.13072315,0.20817499999999997,0.16522397,0.43068916,0.40901046574182937,OOD,0.020930629469750786,0,4574.969113030005
omniglot_SOTA_testSet,1,RelationNetwork,20,TKH,0.5315567,0.274775,0.56605756,0.5696839,0.640939746650358,OOD,0.024311378508838202,0,16532.122101625428
TKH,1,RelationNetwork,20,TKH,0.0,0.37648750000000003,0.03450082,0.3936207,0.3442073420962984,ID,0.027930127662615507,0,804.2508932485944
Greek,1,RelationNetwork,20,TKH,0.45487383,0.31761249999999996,0.48937464,0.48445165,0.5537585664775768,OOD,0.024188288100855753,0,11821.725126675796
miniImageNet_SOTA_testSet,1,RelationNetwork,20,TKH,0.3092765,0.055837500000000005,0.3437773,0.35226765,0.37464367601171916,OOD,0.007681766154342373,0,7291.222037083469
omniglot_SOTA_testSet,1,RelationNetwork,20,TKH,0.22745518,0.2590625,0.27680874,0.33834544,0.36429854382105836,OOD,0.02370596246200521,2,4535.291663824813
TKH,1,RelationNetwork,20,TKH,0.0,0.3461,0.04935356,0.35443676,0.29546109202944065,ID,0.026949478195319475,2,1054.8423649427132
Greek,1,RelationNetwork,20,TKH,0.22399734,0.3791875,0.2733509,0.40650716,0.4188440094067928,OOD,0.025792213577938594,2,5586.60779592162
miniImageNet_SOTA_testSet,1,RelationNetwork,20,TKH,0.112922385,0.06167500000000001,0.16227594,0.36186373,0.3346073771628873,OOD,0.009434345499291405,2,3658.629681395367
b-59-850,1,RelationNetwork,20,TKH,0.103591576,0.2271625,0.15294513,0.33981648,0.3246809087035771,OOD,0.021965245986557948,2,3006.4588904785924
b-59-850,1,RelationNetwork,20,TKH,0.81911004,0.201,0.8631817,0.8915763,0.9201693014489501,OOD,0.019651653874419833,1,55541.25952239707
TKH,1,RelationNetwork,20,TKH,0.0,0.3685375,0.0440717,0.2946554,0.24515140958499992,ID,0.02797867770731848,1,715.6734929022496
miniImageNet_SOTA_testSet,1,RelationNetwork,20,TKH,0.6801382,0.0572625,0.72420985,0.7067048,0.7625286162571704,OOD,0.008288631144525615,1,34235.79529587552
omniglot_SOTA_testSet,1,RelationNetwork,20,TKH,0.22820315,0.28742499999999993,0.27227485,0.3506138,0.37419328251715517,OOD,0.02323441682074246,1,4592.287649814738
Greek,1,RelationNetwork,20,TKH,0.25109622,0.28411249999999993,0.29516792,0.4069659,0.4164854869010487,OOD,0.03492918953039134,1,7158.6801373315975
TKH,1,RelationNetwork,20,TKH,0.0,0.3615625,0.21255717,0.26250267,0.2773526595469328,ID,0.02714724030633685,4,2353.8457869392587
omniglot_SOTA_testSet,1,RelationNetwork,20,TKH,-0.07805672,0.2586875,0.13450044,0.16018166,0.1672147683514787,OOD,0.023726057010173433,4,681.324908668128
b-59-850,1,RelationNetwork,20,TKH,0.67350197,0.1852875,0.88605917,0.8733216,0.9165163283171829,OOD,0.020030917508941024,4,53271.139028718695
miniImageNet_SOTA_testSet,1,RelationNetwork,20,TKH,0.60370326,0.052875,0.8162604,0.779469,0.8454145080156115,OOD,0.008428003915518786,4,40142.38475345168
Greek,1,RelationNetwork,20,TKH,0.22532803,0.21778750000000002,0.4378852,0.4149624,0.5036731138314294,OOD,0.027756815041535297,4,5410.407672777947
omniglot_SOTA_testSet,1,RelationNetwork,20,TKH,0.22491586,0.27122500000000005,0.26912177,0.37400663,0.3942173414682256,OOD,0.025660938213557197,3,4939.566150282975
TKH,1,RelationNetwork,20,TKH,0.0,0.40796250000000006,0.0442059,0.2585265,0.2073991072462328,ID,0.027070454950923896,3,622.6810749844299
Greek,1,RelationNetwork,20,TKH,0.19768599,0.39102499999999996,0.24189189,0.4060507,0.4122302698450585,OOD,0.02783454463432086,3,5122.746001227293
b-59-850,1,RelationNetwork,20,TKH,0.03769212,0.17658750000000004,0.08189802,0.26054168,0.23554363406262305,OOD,0.019221655268212467,3,1228.0195733626897
miniImageNet_SOTA_testSet,1,RelationNetwork,20,TKH,0.22974163,0.05822499999999999,0.27394754,0.40092894,0.39931729274403566,OOD,0.007552276146963907,3,7476.247412968427
b-59-850,5,RelationNetwork,20,TKH,-0.048131645,0.3311625,0.073127985,0.17702223,0.15234328205816478,OOD,0.024119497429465647,0,582.3342231002971
omniglot_SOTA_testSet,5,RelationNetwork,20,TKH,-0.095677525,0.4877125,0.025582107,0.14152838,0.11883385879275818,OOD,0.027994031171840898,0,108.66954349261988
TKH,5,RelationNetwork,20,TKH,0.0,0.6152,0.12125963,0.11612499,0.10295839741423882,ID,0.028855361286942847,0,567.1388799146971
Greek,5,RelationNetwork,20,TKH,-0.058034293,0.50555,0.06322534,0.07850202,0.06985157888728216,OOD,0.027261362310053397,0,80.61599066943623
miniImageNet_SOTA_testSet,5,RelationNetwork,20,TKH,0.03851098,0.0725875,0.15977061,0.22588713,0.24146880884773123,OOD,0.013372669189432602,0,1332.5328180144716
omniglot_SOTA_testSet,5,RelationNetwork,20,TKH,0.1544098,0.5125875,0.23062338,0.1556918,0.18226257823885875,OOD,0.029965347173860676,2,1234.318225227852
TKH,5,RelationNetwork,20,TKH,0.0,0.6458375,0.07621358,0.11272688,0.08494416005122865,ID,0.028890582916410668,2,403.88313677812266
