unseen_ds,spc,model,nway,trained_ds,mean_diff,acc,dis_mean,norm_ratio_sum,norm_ratio_limits,domain,acc_std,bt_iter,sum_min_values
TKH,5,PrototypicalNetwork,5,TKH,0.21678925,0.8298500008583068,125.7322,1.0255934,0.7619261585067144,OOD,0.04754842138327715,0,1606311.4337024689
TKH,5,PrototypicalNetwork,5,TKH,0.0,0.8320500009059906,125.51541,1.0223349,0.7605094476601129,ID,0.04520423072351622,0,1593938.559879303
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,TKH,33.256393,0.42174999928474427,158.7718,0.9198992,0.6759505519024859,OOD,0.04968714567454066,0,1967535.8996925354
Greek,5,PrototypicalNetwork,5,TKH,196.6052,0.7486499996185303,322.1206,0.77411497,0.5865417714347221,OOD,0.04874733441142325,0,3181537.6724452972
miniImageNet_SOTA_testSet,5,PrototypicalNetwork,5,TKH,73.932724,0.3548000001907349,199.44814,0.93043816,0.6803138568524815,OOD,0.04629481626243001,0,2513357.3252162933
b-59-850,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,-90.11987,0.5586999994516373,153.38347,0.87558645,0.6500814319047661,OOD,0.05349588788187926,0,1787225.9790849686
omniglot_SOTA_testSet,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,445.48718,0.6549000005722045,688.99054,1.0596268,0.7777768753100776,OOD,0.054632774158686594,0,9319178.876846313
Egyptian,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,-79.75006,0.4868999993801117,163.75328,0.9107842,0.67106138773748,OOD,0.0489733614668909,0,1993538.7173957825
TKH,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,-36.808807,0.5786000002622604,206.69453,1.0087185,0.729320338308146,OOD,0.05619866713414791,0,2796629.7526130676
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,0.0,0.2795000001192093,243.50334,0.94443786,0.682643329233271,ID,0.048885069896951565,0,3212051.860347748
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,0.07104492,0.2862999994754791,243.57439,0.9429954,0.6820248580084324,OOD,0.04388690054640897,0,3205145.1383628845
Greek,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,536.77545,0.5646499998569489,780.2788,0.6927986,0.5213334410820575,OOD,0.05351170484531074,0,7449126.276538655
miniImageNet_SOTA_testSet,1,PrototypicalNetwork,5,cifar100_SOTA_testSet,110.39937,0.2912499992251396,353.9027,0.9457088,0.6835475868852114,OOD,0.04883966168184624,0,4656969.752473831
b-59-850,1,PrototypicalNetwork,5,Egyptian,-13.4375,0.6693999989032745,247.61777,0.93053067,0.7025335047661232,OOD,0.051658881857234704,0,2860221.038591385
omniglot_SOTA_testSet,1,PrototypicalNetwork,5,Egyptian,607.20386,0.6809000004529953,868.2591,1.0286647,0.7609157434919009,OOD,0.05245417027990987,0,11297004.763381958
Egyptian,1,PrototypicalNetwork,5,Egyptian,-0.33465576,0.5442499997615814,260.7206,0.961025,0.7066102647503081,OOD,0.055374294563908494,0,3311861.094264984
TKH,1,PrototypicalNetwork,5,Egyptian,97.15292,0.6162500013113021,358.2082,0.91120625,0.6691035666801485,OOD,0.06124999880061077,0,4336053.010232925
Egyptian,1,PrototypicalNetwork,5,Egyptian,0.0,0.5425500009059906,261.05527,0.9616428,0.7072755919115125,ID,0.05015099690189303,0,3317086.0354537964
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,Egyptian,233.035,0.3138499995470047,494.09027,0.87933165,0.6513354002617044,OOD,0.04869602158503789,0,5791736.694314957
Greek,1,PrototypicalNetwork,5,Egyptian,814.5829,0.5787999997138977,1075.6382,0.7070503,0.5361128868197687,OOD,0.05665077265236359,0,10132504.191951752
miniImageNet_SOTA_testSet,1,PrototypicalNetwork,5,Egyptian,384.5881,0.2866999997496605,645.6434,0.8444585,0.6272070612078554,OOD,0.04874023125050434,0,7265442.854534149
b-59-850,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,-115.287155,0.655749999165535,37.719776,0.97794336,0.7346205477437836,OOD,0.050843511774882784,0,459591.0323650837
omniglot_SOTA_testSet,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,-0.3837433,0.6749499988555908,152.62318,1.0980605,0.8024342092369661,OOD,0.04960466384447631,0,2137258.61945343
Egyptian,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,-124.029144,0.5612999992370605,28.977785,0.9884804,0.7242706256301376,OOD,0.045604933172014174,0,384406.68108844757
TKH,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,-108.12253,0.6214499986171722,44.884396,0.998743,0.7313438557787005,OOD,0.05407654339007333,0,589149.7714927197
omniglot_SOTA_trainSet,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,0.0,0.6678999998569488,153.00693,1.0966641,0.8014621964876502,ID,0.05422951303303073,0,2139657.3544654846
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,-86.78335,0.3059999997019768,66.22358,0.9137755,0.6736975889484603,OOD,0.046249325227970754,0,819554.4032521248
Greek,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,1.9674988,0.6263500002622604,154.97443,0.7914319,0.5966425328195706,OOD,0.052726204388617935,0,1660774.3347184658
miniImageNet_SOTA_testSet,1,PrototypicalNetwork,5,omniglot_SOTA_testSet,-69.774254,0.27969999903440473,83.23267,0.8921151,0.6596846562709883,OOD,0.04337810576134669,0,1001718.3209505081
b-59-850,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,-79.04722,0.8876000008583069,26.338018,0.8950798,0.6940944249100499,OOD,0.0353375152203328,0,273134.83902072906
omniglot_SOTA_testSet,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,-0.30143738,0.9117499997615814,105.0838,1.0097541,0.7631495849310502,OOD,0.031879657040521155,0,1264553.7689990997
Egyptian,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,-84.19448,0.7950000021457672,21.190758,0.889183,0.6711360763407788,OOD,0.03968627016159784,0,239618.11995100975
TKH,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,-73.70622,0.8242999994754792,31.679014,0.9127274,0.6867033176405419,OOD,0.04428046994262193,0,362164.6014447212
omniglot_SOTA_trainSet,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,0.0,0.9131500008106231,105.38524,1.0083696,0.7623314163652022,ID,0.03070346122398883,0,1265248.6762123108
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,-64.11935,0.41749999952316286,41.265892,0.84491473,0.6302742784741607,OOD,0.05578978327921461,0,464743.89886045456
Greek,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,2.9608307,0.7771499989032745,108.34607,0.7601463,0.5841396590512803,OOD,0.04888509464540473,0,1017135.3664946556
miniImageNet_SOTA_testSet,5,PrototypicalNetwork,5,omniglot_SOTA_testSet,-53.40263,0.3538999993801117,51.98261,0.83021426,0.6170951804596032,OOD,0.05179082843002,0,582886.3858356476
b-59-850,5,PrototypicalNetwork,5,Egyptian,6.5616226,0.8652999997138977,126.3719,0.9035802,0.6969986968673819,OOD,0.03550929468118198,0,1339026.4933786392
omniglot_SOTA_testSet,5,PrototypicalNetwork,5,Egyptian,178.52332,0.8991499984264374,298.3336,1.0037909,0.7556284404915433,OOD,0.0358106482532729,0,3615548.446674347
Egyptian,5,PrototypicalNetwork,5,Egyptian,-0.037826538,0.8554000005722046,119.77245,0.9925501,0.7469055945106762,OOD,0.03425405010390687,0,1450251.4585704803
TKH,5,PrototypicalNetwork,5,Egyptian,39.440163,0.829150000333786,159.25044,0.9498744,0.7098787427269905,OOD,0.04735137392793241,0,1905824.1440162659
Egyptian,5,PrototypicalNetwork,5,Egyptian,0.0,0.8491499972343445,119.81028,0.994104,0.7479768844052294,ID,0.036484963163225574,0,1452228.2887248993
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,Egyptian,85.224495,0.4180500009059906,205.03477,0.8799111,0.652154265603469,OOD,0.05001072367197841,0,2405868.4764175415
Greek,5,PrototypicalNetwork,5,Egyptian,236.57297,0.7950000026226044,356.38324,0.812707,0.621726554653914,OOD,0.044930501053275784,0,3576123.0655765533
miniImageNet_SOTA_testSet,5,PrototypicalNetwork,5,Egyptian,117.15713,0.34859999996423724,236.9674,0.8716169,0.6437062300571759,OOD,0.04871385778803929,0,2798327.1986865997
b-59-850,5,PrototypicalNetwork,5,b-59-850,-0.44000244,0.8698499991893768,136.19962,0.9218632,0.697054232163084,OOD,0.03733768044196416,0,1550241.004078865
omniglot_SOTA_testSet,5,PrototypicalNetwork,5,b-59-850,316.46762,0.8922999970912934,453.10724,0.980995,0.7424694193285424,OOD,0.03596122906321964,0,5318710.56426239
Egyptian,5,PrototypicalNetwork,5,b-59-850,-14.477837,0.7558999981880188,122.16178,0.8904526,0.671470897619039,OOD,0.04391969973665474,0,1369676.0582561493
TKH,5,PrototypicalNetwork,5,b-59-850,18.514496,0.8160499994754791,155.15411,0.9862041,0.7322419395829879,OOD,0.04606270284222737,0,1933152.686515808
b-59-850,5,PrototypicalNetwork,5,b-59-850,0.0,0.8666500008106232,136.63962,0.91651565,0.6927336547482269,ID,0.039713379152816704,0,1552304.8778524399
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,b-59-850,65.14371,0.41810000014305115,201.78333,0.95462376,0.6903404807319625,OOD,0.05717202186063169,0,2649320.560573578
Greek,5,PrototypicalNetwork,5,b-59-850,381.7916,0.7554000000953675,518.4312,0.7240643,0.5548807157086296,OOD,0.051230751879838554,0,4698593.574550629
miniImageNet_SOTA_testSet,5,PrototypicalNetwork,5,b-59-850,131.1347,0.3631000002622604,267.77432,0.93460274,0.6756083624675604,OOD,0.05355735238619397,0,3463096.244989395
b-59-850,1,PrototypicalNetwork,5,TKH,-71.839874,0.664,146.65886,0.9642299,0.7175818216340947,OOD,0.05031401449732043,0,1813310.975605011
omniglot_SOTA_testSet,1,PrototypicalNetwork,5,TKH,387.7768,0.6722500002384186,606.2755,1.0579599,0.7776535963295851,OOD,0.05173792263323212,0,8163884.156059265
Egyptian,1,PrototypicalNetwork,5,TKH,-69.56799,0.52475,148.93074,0.96025187,0.703653713107737,OOD,0.046401104320035635,0,1921898.8743600845
TKH,1,PrototypicalNetwork,5,TKH,0.8289337,0.6031499990224838,219.32767,1.0244446,0.7441934604112437,OOD,0.054664453542724666,0,2972859.9332942963
TKH,1,PrototypicalNetwork,5,TKH,0.0,0.6111500006914139,218.49873,1.0244595,0.7437004728890533,ID,0.05563319695821048,0,2967695.202299118
